name,score,document_length,url_count,acetate,adhesive,chemical,emulsion,ethylene,sealant
Prymus SA,0.6082527185493587,3123,6,4,3,13,0,0,1
Luxchem Corporation Bhd,0.6003875528242931,6137,12,1,10,74,2,2,4
Union Petrochemical PCL,0.22997788499702984,2937,13,2,7,100,0,0,2
Imcd NV,0.1844878707807253,2507,5,0,4,13,1,0,0
Orapi SA,0.18165627792164257,3295,7,0,7,6,0,0,1
"SAKAI TRADING CO., LTD.",0.17324763675377705,3133,8,0,1,37,0,0,3
Univar Inc,0.1572505127938541,5001,10,0,7,55,0,2,2
Quaker Chemical Corp,0.1495806805039378,9205,9,0,2,175,6,0,0
Gratitude Infinite PCL,0.139218748989173,3023,6,4,0,22,0,0,0
Krakchemia SA,0.11867349309007175,3553,7,0,0,25,0,4,0
Nexeo Solutions Hldg LLC,0.10474780321659202,7747,11,0,4,102,0,0,3
Sterling Consolidated Corp,0.08932192227551239,5889,6,0,0,0,0,0,8
Rayon Industrial SA,0.07714351602685086,2812,3,0,1,11,0,0,1
Sinochem International Corporation,0.06322900846443785,4686,10,0,0,110,2,2,0
Wonik Cube Corp,0.05587351929722619,3267,9,0,2,28,0,0,1
Elton SA,0.04493499084703066,2901,4,0,0,18,0,2,0
Appu Marketing and Manufacturing Ltd,0.034052826735964596,4483,4,0,3,11,0,0,0
Bintang Mitra Semestaraya Tbk PT,0.029259419165043706,3035,8,0,0,31,0,2,0
"Rifa Industrial Co., Ltd.",0.028779731017611453,7003,7,1,1,35,0,0,0
Saudi Industrial Export Company,0.025188455268788636,3370,6,0,0,33,0,2,0
SBS Philippines Corp,0.024188921554775627,2206,7,0,2,35,0,0,0
Chengde Nanjiang Co Ltd,0.016062139426953753,3783,3,0,0,14,0,1,0
MEIWA CORPORATION,0.011802397218937385,3982,12,0,2,71,0,0,0
Tianjin TEDA Co Ltd,0.011691055676587184,4958,5,0,2,12,0,0,0
Bayer SA,0.011605399892689999,14635,5,2,0,29,0,0,0
White Group Public Company Limited,0.0112403165315111,3405,11,0,1,77,0,0,0
Brenntag AG,0.01059995062740587,10521,8,0,1,153,0,0,1
"NAGASE & CO., LTD.",0.0067277325353535065,5857,11,0,2,111,0,0,0
